airport,departure,duration,aircraft,Mon,Tue,Wed,Thu,Fri,Sat,Sun
LAX,12.41666667,13.75,350,1,,1,,1,1,
ORD,11.58333333,10.91666667,330,1,1,1,1,1,1,1
ATL,11,10.75,767,1,1,1,1,1,1,1
JFK,10.75,9.75,777,1,1,1,1,1,1,1
JFK,10.75,9.75,767,1,1,1,1,1,1,1
JFK,12.5,9.75,350,1,1,1,1,1,1,1
JFK,16.41666667,9.75,350,,1,1,,,1,1
ICN,20,13.58333333,787,,1,,1,,1,1
HKG,12.33333333,12.66666667,350,,1,,1,1,1,1
DOH,9.416666667,6.75,787,1,1,1,1,1,1,1
DOH,16.16666667,6.75,350,1,1,1,1,1,1,1
DXB,17.3,7.416666667,380,1,1,1,1,1,1,1
DXB,22.08333333,7.416666667,380,1,1,1,1,1,1,1
IST,11.91666667,4.25,330,1,1,1,1,1,1,1
IST,14.41666667,4.25,320,1,1,1,1,1,1,1
IST,18,4.25,320,1,1,1,1,1,1,1
FRA,8.666666667,2.833333333,1000,1,1,1,1,1,1,1
FRA,16.08333333,2.833333333,320,1,1,1,1,1,1,1
FRA,19.91666667,2.833333333,1000,1,1,1,1,1,1,1
FRA,6.25,2.833333333,320,1,1,1,1,1,1,1
FRA,8.5,2.833333333,320,1,1,1,1,1,1,1
FRA,12.91666667,2.833333333,320,1,1,1,1,1,1,1
FRA,17.08333333,2.833333333,320,1,1,1,1,1,1,1
FRA,7.166666667,2.833333333,737,1,1,1,1,1,1,1
FRA,15.16666667,2.833333333,737,1,1,1,1,1,1,1
LHR,10.75,2.583333333,320,1,1,1,1,1,1,1
LHR,12.16666667,2.583333333,320,1,1,1,1,1,1,1
LHR,22.12,2.583333333,320,1,1,1,1,1,1,1
LHR,21.3,2.583333333,320,1,1,1,1,1,1,1
LHR,21,2.583333333,320,1,1,1,1,1,1,1
LHR,6.833333333,2.583333333,320,1,1,1,1,1,1,1
LHR,7.666666667,2.583333333,330,1,1,1,1,1,1,1
LHR,9,2.583333333,320,1,1,1,1,1,1,1
LHR,13.33333333,2.583333333,320,1,1,1,1,1,1,1
LHR,14.75,2.583333333,320,1,1,1,1,1,1,1
LHR,15.83333333,2.583333333,330,1,1,1,1,1,1,1
LHR,16.66666667,2.583333333,320,1,1,1,1,1,1,1
LHR,17.25,2.583333333,320,1,1,1,1,1,1,1
CDG,6,2.333333333,320,1,1,1,1,1,1,1
CDG,10.08333333,2.333333333,320,1,1,1,1,1,1,1
CDG,12.66666667,2.333333333,320,1,1,1,1,1,1,1
CDG,16.66666667,2.333333333,320,1,1,1,1,1,1,1
CDG,17.83333333,2.333333333,320,1,1,1,1,1,1,1
CDG,20.25,2.333333333,320,1,1,1,1,1,1,1
CDG,8.75,2.333333333,320,1,1,1,1,1,1,1
CDG,19.91666667,2.333333333,320,1,1,1,1,1,1,1
CDG,20.66666667,2.333333333,320,1,1,1,1,1,1,1
