airport,departure,duration,aircraft,Mon,Tue,Wed,Thu,Fri,Sat,Sun
JFK,0.92,7.00,777.00,1,1.00,1.00,1.00,1.00,1.00,1.00
LHR,5.25,10.50,787.00,1,1.00,1,1,1,1,1
LHR,14.00,10.50,787.00,1,1,1,1,1,1,1
LHR,1.92,10.50,777.00,1,1,1,1,1,1,1
LHR,8.83,10.50,350.00,1,1,1,1,1,1,1
LHR,13.17,10.50,777.00,1,1,1,1,1,1,1
LHR,10.67,10.50,787.00,1,1,1,1,1,1,1
LHR,4.75,10.50,787.00,1,1,1,1,1,1,1
CDG,2.08,9.83,350.00,1,1,1,1,1,1,1
AMS,2.42,9.58,787.00,1,1,1,1,1,1,1
FRA,2.92,9.42,340.00,1,1,1,1,1,1,1
DOH,4.92,4.17,320.00,1,1,1,1,1,1,1
DOH,17.83,4.17,320.00,1,1,1,1,1,1,1
DOH,7.75,4.17,737.00,,,,1,1,1,1
DOH,4.42,4.17,777.00,1,1,1,1,1,1,1
DOH,18.33,4.17,320.00,1,1,1,1,1,1,1
DXB,2.58,3.58,320.00,1,1,1,1,1,1,1
DXB,8.25,3.58,320.00,1,1,1,1,1,1,1
DXB,15.50,3.58,320.00,1,1,1,1,1,1,1
DXB,19.58,3.58,320.00,1,1,1,1,1,1,1
DXB,1.08,3.58,320.00,1,1,1,1,1,1,1
DXB,8.42,3.58,787.00,1,,,1,,1,
DXB,20.33,3.58,787.00,1,1,1,1,1,1,1
DXB,4.50,3.58,380.00,1,1,1,1,1,1,1
DXB,10.17,3.58,777.00,1,1,1,1,1,1,1
DXB,15.58,3.58,777.00,1,1,1,1,1,1,1
DXB,19.33,3.58,777.00,1,1,1,1,1,1,1
DXB,22.33,3.58,777.00,1,1,1,1,1,1,1
DXB,5.33,3.58,737.00,1,,1,,1,1,1
DXB,15.25,3.58,737.00,1,1,1,1,1,1,1
DXB,1.83,3.58,737.00,1,1,1,1,1,1,1
DXB,23.08,3.58,737.00,1,1,1,1,1,1,1
DXB,16.42,3.58,320.00,1,1,1,1,1,1,1
BKK,1.67,4.67,787.00,1,1,1.00,1.00,1,1,1
BKK,2.92,4.67,787.00,1,1,,1,,1,
BKK,23.33,4.67,777.00,1,1,1,1,1,1,1
BKK,8.83,4.67,320.00,1,1,1,1,1,1,1
BKK,12.75,4.67,320.00,1,1,1,1,1,1,1
BKK,7.83,4.67,320.00,1,,1,,1,1,1
SIN,23.83,5.92,320.00,1,1,1,1,1,1,1
SIN,11.83,5.92,350.00,1,1,1,1,1,1,1
SIN,1.00,5.92,350.00,,,,,,1,1
SIN,23.67,5.92,380.00,1,1,1,1,1,1,1
SIN,0.92,5.92,320.00,1,1,1.00,1.00,1.00,1,1
HKG,1.75,5.92,777.00,1,1,1,1,1,1,1
NRT,19.67,9.08,787.00,1,1.00,1.00,1.00,1.00,1.00,1.00
IST,6.583333333,7.17,777.00,1,1,1,1,1,1,1
