airport,departure,duration,n.passengers,Mon,Tue,Wed,Thu,Fri,Sat,Sun
PEK,8,2.17,201,1,1,1,1,1,1,1
PEK,9,2.17,158,1,1,1,1,1,1,1
PEK,10.5,2.17,158,1,1,1,1,1,1,1
PEK,11,2.17,158,1,1,1,1,1,1,1
PEK,12,2.17,158,1,1,1,1,1,1,1
PEK,13.5,2.17,158,1,1,1,1,1,1,1
PEK,14.5,2.17,158,1,1,1,1,1,1,1
PEK,16,2.17,158,1,1,1,1,1,1,1
PEK,16.5,2.17,158,1,1,1,1,1,1,1
PEK,18,2.17,158,1,1,1,1,1,1,1
PEK,19.5,2.17,158,1,1,1,1,1,1,1
PEK,20.5,2.17,158,1,1,1,1,1,1,1
PEK,22,2.17,155,1,1,1,1,1,1,1
PVG,8,1.83,143,1,1,1,1,1,1,1
PVG,9.5,1.83,143,1,1,1,1,1,1,1
PVG,10,1.83,143,1,1,1,1,1,1,1
PVG,15,1.83,143,1,1,1,1,1,1,1
PVG,17,1.83,143,1,1,1,1,1,1,1
PVG,18,1.83,143,1,1,1,1,1,1,1
PVG,19,1.83,143,1,1,1,1,1,1,1
PVG,19.5,1.83,143,1,1,1,1,1,1,1
HKG,11.58333333,2.25,146,1,1,1,1,1,1,1
HKG,20.83333333,2.25,146,1,1,1,1,1,1,1
TPE,18.83,2.58,177,1,1,1,1,1,1,1
ICN,14,2.83,230,1,1,1,1,1,1,1
NRT,9.58,4.92,217,1,1,1,1,1,1,1
BKK,11,3.83,196,1,1,1,1,1,1,1
SIN,12,5,180,1,1,1,1,1,1,1
DXB,NA,7.67,220,1,,,,1,,
FRA,NA,10.5,171,,1,,,,,
CDG,NA,11.5,198,,,1,,,,1
LHR,NA,11,275,,,,,,1,
LAX,NA,14,279,,,,1,,,
JFK,NA,15.5,226,,,,,,,1
